adc_bits,dac_bits,comparator_noise,settling_fraction,row_drop_case_ohm,spice_row_drop_loss_pct,relative_error,energy_relative,latency_comparisons,useful,interpretation
4,8,0.004,1.0,100.0,6.932031250000015,0.3796196183080618,4.888888888888888,16,0,too much model-facing error
4,8,0.004,0.97,100.0,6.932031250000015,0.3796196183080618,4.888888888888888,16,0,too much model-facing error
4,8,0.012,1.0,100.0,6.932031250000015,0.3796196183080618,4.888888888888888,16,0,too much model-facing error
4,8,0.012,0.97,100.0,6.932031250000015,0.3796196183080618,4.888888888888888,16,0,too much model-facing error
5,8,0.0,1.0,100.0,6.932031250000015,0.1851205305395241,5.629629629629629,20,0,too much model-facing error
5,8,0.0,0.97,100.0,6.932031250000015,0.1851205305395241,5.629629629629629,20,0,too much model-facing error
5,8,0.004,1.0,100.0,6.932031250000015,0.1851205305395241,5.629629629629629,20,0,too much model-facing error
5,8,0.004,0.97,100.0,6.932031250000015,0.1851205305395241,5.629629629629629,20,0,too much model-facing error
5,8,0.012,1.0,100.0,6.932031250000015,0.1851205305395241,5.629629629629629,20,0,too much model-facing error
5,8,0.012,0.97,100.0,6.932031250000015,0.1851205305395241,5.629629629629629,20,0,too much model-facing error
6,8,0.0,1.0,100.0,6.932031250000015,0.09000426441791687,7.111111111111111,24,1,reasonable converter boundary
6,8,0.0,0.97,100.0,6.932031250000015,0.09000426441791687,7.111111111111111,24,1,reasonable converter boundary
6,8,0.004,1.0,100.0,6.932031250000015,0.09000426441791687,7.111111111111111,24,1,reasonable converter boundary
6,8,0.004,0.97,100.0,6.932031250000015,0.09000426441791687,7.111111111111111,24,1,reasonable converter boundary
6,8,0.012,1.0,100.0,6.932031250000015,0.094570605889786,7.111111111111111,24,1,reasonable converter boundary
6,8,0.012,0.97,100.0,6.932031250000015,0.09000426441791687,7.111111111111111,24,1,reasonable converter boundary
7,8,0.0,1.0,100.0,6.932031250000015,0.05870575245722467,10.074074074074073,28,0,precision costs more than the error reduction justifies
7,8,0.0,0.97,100.0,6.932031250000015,0.05870575245722467,10.074074074074073,28,0,precision costs more than the error reduction justifies
7,8,0.004,1.0,100.0,6.932031250000015,0.05870575245722467,10.074074074074073,28,0,precision costs more than the error reduction justifies
7,8,0.004,0.97,100.0,6.932031250000015,0.05870575245722467,10.074074074074073,28,0,precision costs more than the error reduction justifies
7,8,0.012,1.0,100.0,6.932031250000015,0.05870575245722467,10.074074074074073,28,0,precision costs more than the error reduction justifies
7,8,0.012,0.97,100.0,6.932031250000015,0.04644464152847725,10.074074074074073,28,0,precision costs more than the error reduction justifies
8,8,0.0,1.0,100.0,6.932031250000015,0.03760628956286574,16.0,32,0,precision costs more than the error reduction justifies
8,8,0.0,0.97,100.0,6.932031250000015,0.046679260787003844,16.0,32,0,precision costs more than the error reduction justifies
8,8,0.004,1.0,100.0,6.932031250000015,0.046679260787003844,16.0,32,0,precision costs more than the error reduction justifies
8,8,0.004,0.97,100.0,6.932031250000015,0.07556832080907158,16.0,32,0,precision costs more than the error reduction justifies
8,8,0.012,1.0,100.0,6.932031250000015,0.03124510843469801,16.0,32,0,precision costs more than the error reduction justifies
8,8,0.012,0.97,100.0,6.932031250000015,0.046679260787003844,16.0,32,0,precision costs more than the error reduction justifies
